,Start Time,End Time,Trip Duration,Start Station,End Station,User Type
1621326,6/21/2017 8:36,6/21/2017 8:44,489.066,14th & Belmont St NW,15th & K St NW,Subscriber
482740,3/11/2017 10:40,3/11/2017 10:46,402.549,Yuma St & Tenley Circle NW,Connecticut Ave & Yuma St NW,Subscriber
1330037,5/30/2017 1:02,5/30/2017 1:13,637.251,17th St & Massachusetts Ave NW,5th & K St NW,Subscriber
665458,4/2/2017 7:48,4/2/2017 8:19,1827.341,Constitution Ave & 2nd St NW/DOL,M St & Pennsylvania Ave NW,Customer
1481135,6/10/2017 8:36,6/10/2017 9:02,1549.427,Henry Bacon Dr & Lincoln Memorial Circle NW,Maine Ave & 7th St SW,Subscriber
1148202,5/14/2017 7:18,5/14/2017 7:24,398,1st & K St SE,Eastern Market Metro / Pennsylvania Ave & 7th St SE,Subscriber
1594275,6/19/2017 8:41,6/19/2017 9:00,1105.429,Park Rd & Holmead Pl NW,8th & H St NW,Subscriber
1601832,6/20/2017 5:54,6/20/2017 6:05,636.218,1st & D St SE,Potomac & Pennsylvania Ave SE,Subscriber
574182,3/24/2017 20:37,3/24/2017 20:42,328.53,18th & R St NW,15th & P St NW,Subscriber
327058,2/20/2017 21:12,2/20/2017 21:31,1188.09,17th & Corcoran St NW,Lynn & 19th St North,Subscriber
854729,4/17/2017 2:50,4/17/2017 3:05,866.689,37th & O St NW / Georgetown University,37th & O St NW / Georgetown University,Customer
721887,4/8/2017 1:12,4/8/2017 1:52,2385.411,10th & G St NW,5th St & Massachusetts Ave NW,Customer
143181,1/26/2017 20:01,1/26/2017 20:17,951.457,10th St & L'Enfant Plaza SW,1st & Rhode Island Ave NW,Subscriber
26953,1/6/2017 17:36,1/6/2017 17:43,448.628,North Capitol St & F St NW,1st & M St NE,Subscriber
1308542,5/28/2017 3:50,5/28/2017 4:24,2039.472,Henry Bacon Dr & Lincoln Memorial Circle NW,Lincoln Memorial,Customer
1592744,6/19/2017 7:46,6/19/2017 7:55,505.482,Metro Center / 12th & G St NW,North Capitol St & G Pl NE,Subscriber
1139713,5/13/2017 11:29,5/13/2017 11:55,1591.326,16th & Harvard St NW,New York Ave & 15th St NW,Customer
1478516,6/10/2017 6:04,6/10/2017 6:32,1672.075,17th St & Massachusetts Ave NW,15th & East Capitol St NE,Subscriber
679837,4/3/2017 10:22,4/3/2017 10:26,231.952,20th & Crystal Dr,6th & S Ball St,Subscriber
1392498,6/3/2017 11:42,6/3/2017 12:21,2291.454,22nd & I St NW / Foggy Bottom,Lamont & Mt Pleasant NW,Customer
746605,4/9/2017 11:05,4/9/2017 11:26,1261.363,Henry Bacon Dr & Lincoln Memorial Circle NW,Smithsonian-National Mall / Jefferson Dr & 12th St SW,Customer
868881,4/18/2017 5:42,4/18/2017 6:31,2964.818,Anacostia Metro,Congress Heights Metro,Subscriber
1161275,5/15/2017 7:35,5/15/2017 7:49,825.59,3rd & H St NE,Oklahoma Ave & D St NE,Subscriber
305000,2/19/2017 0:43,2/19/2017 0:46,226.006,18th St & Wyoming Ave NW,Calvert St & Woodley Pl NW,Subscriber
1174029,5/16/2017 7:34,5/16/2017 7:50,920.84,Florida Ave & R St NW,L'Enfant Plaza / 7th & C St SW,Subscriber
1157984,5/15/2017 5:39,5/15/2017 6:02,1371.512,Lincoln Memorial,Arlington Blvd & Fillmore St,Subscriber
694527,4/5/2017 1:36,4/5/2017 1:40,254.076,13th St & New York Ave NW,11th & M St NW,Subscriber
228536,2/8/2017 9:17,2/8/2017 9:31,834.78,39th & Calvert St NW / Stoddert,Massachusetts Ave & Dupont Circle NW,Subscriber
669432,4/2/2017 12:11,4/2/2017 2:15,7427.749,2nd St & Massachusetts Ave NE,2nd St & Massachusetts Ave NE,Customer
1036255,5/2/2017 11:49,5/2/2017 12:09,1165.698,10th & K St NW,Georgetown Harbor / 30th St NW,Subscriber
300879,2/18/2017 15:55,2/18/2017 16:22,1608.894,Madison & Fairfax St,12th & Army Navy Dr,Customer
1999,1/1/2017 14:40,1/1/2017 14:44,252.871,21st & M St NW,18th & R St NW,Subscriber
1737550,6/29/2017 12:45,6/29/2017 1:39,3238.239,4th St & Madison Dr NW,4th St & Madison Dr NW,Customer
941125,4/25/2017 7:43,4/25/2017 8:02,1122.602,17th St & Massachusetts Ave NW,3rd St & Pennsylvania Ave SE,Subscriber
964985,4/27/2017 8:01,4/27/2017 8:15,782.782,4th St & Madison Dr NW,18th St & Pennsylvania Ave NW,Subscriber
34042,1/9/2017 12:29,1/9/2017 12:48,1138.896,TJ Cmty Ctr / 2nd St & S Old Glebe Rd,Shirlington Transit Center / S Quincy & Randolph St,Subscriber
131497,1/25/2017 15:57,1/25/2017 18:10,7954.191,17th & K St NW,Carlin Springs Rd & N Thomas St,Customer
398759,2/28/2017 15:53,2/28/2017 16:08,888.153,Smithsonian-National Mall / Jefferson Dr & 12th St SW,Columbus Circle / Union Station,Subscriber
582231,3/25/2017 14:16,3/25/2017 14:35,1127.911,18th & R St NW,8th & D St NW,Subscriber
1357016,6/1/2017 5:49,6/1/2017 5:59,593.622,14th & Belmont St NW,7th & R St NW / Shaw Library,Subscriber
1679342,6/25/2017 12:57,6/25/2017 2:10,4355.38,14th & D St NW / Ronald Reagan Building,14th & D St NW / Ronald Reagan Building,Customer
403923,3/1/2017 10:13,3/1/2017 10:17,270.335,Veterans Pl & Pershing Dr ,Ripley & Bonifant St,Subscriber
847389,4/16/2017 6:55,4/16/2017 6:57,118.354,New Hampshire Ave & 24th St NW,24th & N St NW,Subscriber
1126235,5/12/2017 2:15,5/12/2017 2:33,1042.119,22nd & P ST NW,10th & K St NW,Customer
1416879,6/5/2017 11:32,6/5/2017 11:38,356.295,3rd & Elm St NW,7th & R St NW / Shaw Library,Subscriber
637581,3/30/2017 15:23,3/30/2017 15:34,663.594,20th & E St NW,14th & D St NW / Ronald Reagan Building,Subscriber
874774,4/18/2017 8:43,4/18/2017 8:46,185.352,Eastern Market / 7th & North Carolina Ave SE,1st & D St SE,Subscriber
1104030,5/9/2017 8:10,5/9/2017 8:24,833.419,Columbus Circle / Union Station,Jefferson Dr & 14th St SW,Subscriber
368705,2/24/2017 19:02,2/24/2017 19:09,447.748,21st & M St NW,C & O Canal & Wisconsin Ave NW,Subscriber
1355059,6/1/2017 4:41,6/1/2017 4:54,794.122,14th & V St NW,1st & Washington Hospital Center NW,Subscriber
230028,2/8/2017 13:11,2/8/2017 13:15,238.658,17th & G St NW,20th St & Virginia Ave NW,Subscriber
305817,2/19/2017 10:01,2/19/2017 10:10,587.051,11th & O St NW,Metro Center / 12th & G St NW,Subscriber
317145,2/19/2017 22:54,2/19/2017 23:40,2728.726,19th St & Constitution Ave NW,21st St & Constitution Ave NW,Customer
795979,4/13/2017 4:52,4/13/2017 5:14,1302.578,15th & L St NW,Connecticut Ave & Newark St NW / Cleveland Park,Subscriber
890782,4/20/2017 2:30,4/20/2017 3:04,2060.018,21st St & Constitution Ave NW,Jefferson Memorial,Customer
1521583,6/13/2017 9:20,6/13/2017 9:25,326.177,Madison & N Henry St,Saint Asaph & Madison St,Subscriber
1534265,6/14/2017 9:00,6/14/2017 9:03,219.023,Adams Mill & Columbia Rd NW,15th & Euclid St  NW,Subscriber
1512084,6/13/2017 2:06,6/13/2017 2:15,550.647,Connecticut Ave & R St NW,Adams Mill & Columbia Rd NW,Subscriber
49136,1/11/2017 20:00,1/11/2017 20:03,127.729,Central Library / N Quincy St & 10th St N,Wilson Blvd & N Quincy St,Subscriber
417977,3/2/2017 21:51,3/2/2017 22:00,543.56,8th & H St NW,14th & R St NW,Subscriber
1503283,6/12/2017 5:53,6/12/2017 5:59,369.58,Wilson Blvd & N Uhle St,21st St N & N Pierce St,Subscriber
440191,3/6/2017 16:56,3/6/2017 16:59,216.303,39th & Veazey St NW,Van Ness Metro / UDC,Subscriber
142964,1/26/2017 19:28,1/26/2017 19:32,268.783,11th & M St NW,7th & F St NW/Portrait Gallery,Subscriber
460995,3/8/2017 18:29,3/8/2017 18:39,568.243,1st & H St NW,13th & H St NE,Subscriber
1077673,5/7/2017 3:55,5/7/2017 4:14,1182.397,4th St & Madison Dr NW,New York Ave & 15th St NW,Customer
747817,4/9/2017 12:04,4/9/2017 2:26,8525.019,Smithsonian-National Mall / Jefferson Dr & 12th St SW,Lincoln Memorial,Customer
1084077,5/7/2017 12:35,5/7/2017 1:20,2686.536,15th & W St NW,Eastern Market Metro / Pennsylvania Ave & 7th St SE,Customer
1727292,6/29/2017 5:24,6/29/2017 5:51,1590.865,Smithsonian-National Mall / Jefferson Dr & 12th St SW,Smithsonian-National Mall / Jefferson Dr & 12th St SW,Customer
568889,3/24/2017 13:27,3/24/2017 13:29,112.686,16th & K St NW,17th & K St NW,Subscriber
52359,1/12/2017 10:36,1/12/2017 10:46,561.007,19th & K St NW,Metro Center / 12th & G St NW,Subscriber
948220,4/26/2017 5:46,4/26/2017 6:08,1332.851,14th & Rhode Island Ave NW,5th & F St NW,Subscriber
590016,3/25/2017 20:42,3/25/2017 21:18,2171.291,Smithsonian-National Mall / Jefferson Dr & 12th St SW,3rd & D St SE,Customer
290641,2/17/2017 15:10,2/17/2017 15:15,324.328,1st & N St  SE,Eastern Market Metro / Pennsylvania Ave & 7th St SE,Subscriber
455744,3/8/2017 11:50,3/8/2017 11:56,381.596,7th & T St NW,8th & H St NW,Subscriber
1223270,5/20/2017 4:43,5/20/2017 5:05,1311.574,15th & W St NW,1st & O St NW,Subscriber
574407,3/24/2017 21:21,3/24/2017 21:39,1026.575,15th & East Capitol St NE,5th & F St NW,Subscriber
241950,2/10/2017 7:03,2/10/2017 7:09,343.03,Adams Mill & Columbia Rd NW,14th & Irving St NW,Subscriber
1466776,6/9/2017 7:54,6/9/2017 8:06,669.147,22nd St & Constitution Ave NW,18th & M St NW,Customer
873671,4/18/2017 8:08,4/18/2017 8:35,1619.422,Lee Hwy & N Scott St,15th & Crystal Dr,Subscriber
207988,2/6/2017 7:21,2/6/2017 7:29,477.67,Columbia Rd & Georgia Ave NW,Park Rd & Holmead Pl NW,Subscriber
241670,2/9/2017 23:07,2/9/2017 23:13,343.523,Barcroft Community Center,George Mason Dr & Wilson Blvd,Subscriber
1197538,5/18/2017 6:19,5/18/2017 6:29,597.42,17th St & Massachusetts Ave NW,Adams Mill & Columbia Rd NW,Subscriber
1527613,6/14/2017 5:35,6/14/2017 5:41,338.574,31st & Water St NW,New Hampshire Ave & 24th St NW,Subscriber
848005,4/16/2017 7:39,4/16/2017 7:51,696.4,10th & G St NW,Thomas Circle,Customer
441535,3/6/2017 18:04,3/6/2017 18:23,1170.388,Eckington Pl & Q St NE,8th & Eye St SE / Barracks Row,Subscriber
1394343,6/4/2017 1:08,6/4/2017 1:12,249.727,15th & L St NW,15th & P St NW,Subscriber
438083,3/6/2017 11:59,3/6/2017 12:03,199.431,14th & Rhode Island Ave NW,17th & Rhode Island Ave NW,Subscriber
1403802,6/4/2017 10:30,6/4/2017 10:43,786.43,2nd & G St NE,14th & R St NW,Subscriber
855439,4/17/2017 4:01,4/17/2017 4:05,258.932,3rd & H St NW,Columbus Circle / Union Station,Subscriber
1347499,5/31/2017 8:00,5/31/2017 8:12,726.087,Jefferson Dr & 14th St SW,Hains Point/Buckeye & Ohio Dr SW,Customer
947107,4/26/2017 5:07,4/26/2017 5:17,558.155,Potomac Ave & 8th St SE,15th & F St NE,Subscriber
662007,4/2/2017 4:41,4/2/2017 4:57,931.596,17th St & Independence Ave SW,21st & I St NW,Customer
1564349,6/17/2017 1:37,6/17/2017 2:37,3623.547,14th & G St NW,8th & D St NW,Customer
1566364,6/17/2017 3:25,6/17/2017 3:36,674.428,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials,Jefferson Memorial,Customer
1020210,5/1/2017 8:14,5/1/2017 8:22,458.207,14th & Rhode Island Ave NW,18th & M St NW,Subscriber
1672492,6/25/2017 6:44,6/25/2017 7:04,1198.104,Eastern Market Metro / Pennsylvania Ave & 7th St SE,8th & D St NW,Subscriber
424926,3/3/2017 23:27,3/3/2017 23:32,318.422,Calvert St & Woodley Pl NW,16th & Harvard St NW,Subscriber
818493,4/14/2017 8:18,4/14/2017 9:09,3032.331,Smithsonian-National Mall / Jefferson Dr & 12th St SW,Smithsonian-National Mall / Jefferson Dr & 12th St SW,Customer
684191,4/4/2017 4:51,4/4/2017 5:04,748.496,Columbus Circle / Union Station,Bladensburg Rd & Benning Rd NE,Subscriber
595747,3/26/2017 16:12,3/26/2017 16:24,712.533,4th St & Madison Dr NW,Smithsonian-National Mall / Jefferson Dr & 12th St SW,Customer
942548,4/25/2017 8:44,4/25/2017 8:56,691.108,18th & M St NW,13th St & New York Ave NW,Subscriber
836810,4/15/2017 10:20,4/15/2017 10:29,557.841,11th & F St NW,10th & K St NW,Subscriber
443263,3/6/2017 20:42,3/6/2017 20:50,455.94,Convention Center / 7th & M St NW,15th & P St NW,Subscriber
8178,1/3/2017 18:12,1/3/2017 18:22,601.19,Wilson Blvd & N Edgewood St,Glebe Rd & 11th St N,Subscriber
1202791,5/18/2017 9:30,5/18/2017 9:33,180.677,11th & Kenyon St NW,10th & Florida Ave NW,Subscriber
198932,2/4/2017 13:09,2/4/2017 13:29,1158.081,Columbus Circle / Union Station,15th & K St NW,Subscriber
1262778,5/23/2017 12:24,5/23/2017 1:41,4612.78,Lincoln Memorial,8th & H St NW,Customer
70106,1/15/2017 12:27,1/15/2017 12:34,404.563,Pentagon City Metro / 12th & S Hayes St,23rd & Eads St,Subscriber
333308,2/21/2017 17:36,2/21/2017 17:49,787.23,23rd & E St NW ,19th & L St NW,Subscriber
184802,2/2/2017 8:37,2/2/2017 8:45,478.421,3rd & H St NW,14th St & New York Ave NW,Subscriber
1207200,5/19/2017 3:53,5/19/2017 4:53,3597.384,Columbus Circle / Union Station,11th & H St NE,Subscriber
447561,3/7/2017 12:30,3/7/2017 12:39,556.591,4th & M St SW,3rd & Tingey St SE,Subscriber
1279143,5/25/2017 7:57,5/25/2017 8:03,339.926,Takoma Metro,Maple & Ritchie Ave,Subscriber
1299938,5/27/2017 5:43,5/27/2017 6:01,1080.592,11th & Kenyon St NW,Kennedy Center,Subscriber
1055788,5/4/2017 6:57,5/4/2017 7:07,597.856,Columbus Circle / Union Station,USDA / 12th & Independence Ave SW,Subscriber
1340812,5/31/2017 1:56,5/31/2017 2:04,498.997,Lincoln Park / 13th & East Capitol St NE ,2nd St & Massachusetts Ave NE,Subscriber
356865,2/23/2017 21:07,2/23/2017 21:15,491.636,Lincoln Memorial,Iwo Jima Memorial/N Meade & 14th St N,Subscriber
1579909,6/18/2017 4:13,6/18/2017 4:58,2728.092,Smithsonian-National Mall / Jefferson Dr & 12th St SW,19th St & Constitution Ave NW,Customer
1718945,6/28/2017 8:25,6/28/2017 8:30,310.442,14th & Irving St NW,15th & W St NW,Subscriber
14506,1/4/2017 17:31,1/4/2017 17:38,446.008,Columbus Circle / Union Station,3rd St & Pennsylvania Ave SE,Subscriber
882360,4/19/2017 6:06,4/19/2017 6:08,94.372,25th St & Pennsylvania Ave NW,M St & Pennsylvania Ave NW,Customer
594237,3/26/2017 13:38,3/26/2017 13:47,547.109,3rd & H St NE,3rd & D St SE,Subscriber
1405546,6/4/2017 12:01,6/4/2017 12:22,1259.219,Maine Ave & 7th St SW,Jefferson Memorial,Customer
1008886,4/30/2017 10:04,4/30/2017 10:06,115.853,19th St & Constitution Ave NW,19th St & Constitution Ave NW,Customer
545280,3/21/2017 17:35,3/21/2017 17:51,932.75,N Lynn St & Fairfax Dr,Clarendon Metro / Wilson Blvd & N Highland St,Subscriber
593209,3/26/2017 12:02,3/26/2017 12:29,1634.762,24th & R St NE / National Arboretum,5th St & Massachusetts Ave NW,Subscriber
140818,1/26/2017 16:49,1/26/2017 17:06,1006.8,18th & C St NW,14th & Belmont St NW,Subscriber
37143,1/10/2017 7:16,1/10/2017 7:18,161.361,North Capitol St & F St NW,4th & D St NW / Judiciary Square,Subscriber
251530,2/11/2017 15:29,2/11/2017 15:56,1585.706,15th & Euclid St  NW,22nd & P ST NW,Customer
963773,4/27/2017 7:25,4/27/2017 7:34,497.762,3rd St & Pennsylvania Ave SE,6th & K St NE,Subscriber
1473734,6/10/2017 1:47,6/10/2017 2:00,788.425,4th & C St SW,Washington & Independence Ave SW/HHS,Customer
1012603,4/30/2017 12:57,4/30/2017 4:17,11981.728,Constitution Ave & 2nd St NW/DOL,Constitution Ave & 2nd St NW/DOL,Customer
1537504,6/15/2017 1:18,6/15/2017 1:41,1346.039,11th & Girard St NW,M St & New Jersey Ave SE,Customer
1602523,6/20/2017 6:15,6/20/2017 6:45,1798.586,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials,Georgetown Harbor / 30th St NW,Customer
1669822,6/25/2017 4:11,6/25/2017 9:11,17976.12,14th & Harvard St NW,14th St & Colorado Ave NW,Customer
937498,4/25/2017 4:50,4/25/2017 4:56,382.81,15th & K St NW,8th & O St NW,Subscriber
1460907,6/9/2017 4:06,6/9/2017 5:16,4227.417,12th & Newton St NE,M St & Delaware Ave NE,Subscriber
1456405,6/8/2017 10:25,6/8/2017 10:31,356.731,37th & O St NW / Georgetown University,34th St & Wisconsin Ave NW,Subscriber
574654,3/24/2017 22:19,3/24/2017 22:25,376.016,Braddock Rd Metro,Commonwealth Ave & Oak St,Subscriber
1550980,6/15/2017 12:40,6/15/2017 1:05,1491.158,California St & Florida Ave NW,15th & East Capitol St NE,Subscriber
613828,3/28/2017 15:58,3/28/2017 16:11,787.804,14th & Rhode Island Ave NW,10th & G St NW,Subscriber
765824,4/11/2017 4:26,4/11/2017 4:40,844.802,Georgetown Harbor / 30th St NW,Georgetown Harbor / 30th St NW,Customer
352807,2/23/2017 16:53,2/23/2017 16:58,321.746,Clarendon Metro / Wilson Blvd & N Highland St,Fairfax Dr & Kenmore St,Subscriber
1160346,5/15/2017 7:00,5/15/2017 7:29,1740.819,Connecticut Ave & Tilden St NW,5th & K St NW,Subscriber
80495,1/17/2017 9:48,1/17/2017 9:53,318.804,16th & Harvard St NW,20th St & Florida Ave NW,Subscriber
678855,4/3/2017 8:53,4/3/2017 9:06,758.752,Connecticut Ave & Yuma St NW,Ward Circle / American University,Subscriber
1227248,5/20/2017 8:38,5/20/2017 9:12,2033.989,Jefferson Dr & 14th St SW,Jefferson Dr & 14th St SW,Customer
846576,4/16/2017 6:01,4/16/2017 6:58,3396.155,Constitution Ave & 2nd St NW/DOL,Jefferson Memorial,Customer
82223,1/17/2017 17:54,1/17/2017 18:09,898.953,17th & K St NW / Farragut Square,14th & Irving St NW,Subscriber
599029,3/27/2017 8:25,3/27/2017 8:36,680.695,12th & U St NW,14th & G St NW,Subscriber
1451278,6/8/2017 7:17,6/8/2017 7:23,363.338,Jefferson Dr & 14th St SW,20th St & Virginia Ave NW,Subscriber
440973,3/6/2017 17:35,3/6/2017 17:54,1176.39,8th & H St NW,21st & M St NW,Customer
1228818,5/20/2017 10:10,5/20/2017 10:17,395.024,Pershing & N George Mason Dr,Virginia Square Metro / N Monroe St & 9th St N,Subscriber
895045,4/20/2017 6:10,4/20/2017 6:35,1477.836,24th & N St NW,16th & Harvard St NW,Customer
1516981,6/13/2017 6:49,6/13/2017 7:00,651.98,37th & O St NW / Georgetown University,Lynn & 19th St North,Subscriber
1203107,5/18/2017 9:52,5/18/2017 10:19,1601.136,Smithsonian-National Mall / Jefferson Dr & 12th St SW,4th & E St SW,Subscriber
649417,4/1/2017 3:47,4/1/2017 4:27,2412.689,4th St & Madison Dr NW,Lincoln Memorial,Customer
1215865,5/19/2017 9:50,5/19/2017 10:14,1423.507,N Lynn St & Fairfax Dr,23rd & E St NW ,Customer
1494363,6/11/2017 8:21,6/11/2017 8:28,464.525,Constitution Ave & 2nd St NW/DOL,Constitution Ave & 2nd St NW/DOL,Customer
1210885,5/19/2017 6:42,5/19/2017 6:52,595.328,5th St & Massachusetts Ave NW,10th St & Constitution Ave NW,Subscriber
809328,4/14/2017 2:15,4/14/2017 3:19,3893.653,4th St & Madison Dr NW,Constitution Ave & 2nd St NW/DOL,Customer
1610105,6/20/2017 11:04,6/20/2017 11:12,504.047,22nd & I St NW / Foggy Bottom,11th & M St NW,Subscriber
730405,4/8/2017 9:28,4/8/2017 9:44,960.296,14th & Rhode Island Ave NW,5th & K St NW,Subscriber
364761,2/24/2017 16:00,2/24/2017 16:23,1373.852,15th & K St NW,John McCormack Dr & Michigan Ave NE,Subscriber
130149,1/25/2017 12:32,1/25/2017 12:37,299.665,14th & Rhode Island Ave NW,15th & K St NW,Subscriber
1260201,5/23/2017 8:33,5/23/2017 8:49,968.094,Wilson Blvd & N Uhle St,34th & Water St NW,Subscriber
308627,2/19/2017 12:54,2/19/2017 14:23,5358.537,Jefferson Dr & 14th St SW,22nd St & Constitution Ave NW,Customer
1549593,6/15/2017 10:40,6/15/2017 10:46,385.289,8th & Eye St SE / Barracks Row,3rd St & Pennsylvania Ave SE,Subscriber
1716539,6/28/2017 7:20,6/28/2017 7:37,1026.409,Georgia Ave & Emerson St NW,7th & T St NW,Subscriber
1137696,5/13/2017 8:33,5/13/2017 8:41,448.092,8th & F St NW,8th & H St NW,Customer
1505085,6/12/2017 6:58,6/12/2017 7:09,669.072,4th & M St SW,North Capitol St & F St NW,Subscriber
728022,4/8/2017 6:17,4/8/2017 6:22,280.252,Jefferson Dr & 14th St SW,17th St & Independence Ave SW,Customer
25455,1/6/2017 13:17,1/6/2017 13:24,408.767,21st & I St NW,Georgetown Harbor / 30th St NW,Subscriber
1067125,5/5/2017 8:12,5/5/2017 8:19,413.183,15th & P St NW,New Hampshire Ave & T St NW,Customer
1410940,6/5/2017 6:16,6/5/2017 6:19,216.332,4th & M St SW,4th & E St SW,Subscriber
819255,4/14/2017 8:44,4/14/2017 8:51,402.162,10th & Florida Ave NW,Thomas Circle,Subscriber
886906,4/19/2017 8:57,4/19/2017 9:06,520.728,1st & O St NW,Thomas Circle,Subscriber
525817,3/19/2017 14:30,3/19/2017 14:51,1273.425,3rd St & Pennsylvania Ave SE,19th St & Pennsylvania Ave NW,Subscriber
1480522,6/10/2017 8:02,6/10/2017 8:18,957.578,M St & Pennsylvania Ave NW,15th & P St NW,Customer
974635,4/28/2017 5:24,4/28/2017 5:30,359.085,14th & Irving St NW,15th & W St NW,Subscriber
1124751,5/11/2017 9:05,5/11/2017 9:09,256.663,14th & Rhode Island Ave NW,14th St & New York Ave NW,Subscriber
1628376,6/22/2017 5:07,6/22/2017 5:19,753.497,18th St & Pennsylvania Ave NW,17th St & Massachusetts Ave NW,Subscriber
1349288,5/31/2017 8:53,5/31/2017 9:06,800.903,14th St & Colorado Ave NW,14th & Irving St NW,Subscriber
957778,4/27/2017 3:11,4/27/2017 3:15,192.649,Park Rd & Holmead Pl NW,14th St & Spring Rd NW,Subscriber
945670,4/26/2017 3:27,4/26/2017 3:32,289.75,George Mason Dr & Wilson Blvd,Ballston Metro / N Stuart & 9th St N,Subscriber
1026367,5/2/2017 4:53,5/2/2017 5:16,1337.253,North Capitol St & G Pl NE,John McCormack Dr & Michigan Ave NE,Subscriber
1082763,5/7/2017 11:10,5/7/2017 11:30,1164.403,M St & Delaware Ave NE,14th & D St NW / Ronald Reagan Building,Customer
979524,4/28/2017 8:22,4/28/2017 8:38,955.939,13th & D St NE,5th & F St NW,Subscriber
977066,4/28/2017 6:57,4/28/2017 7:05,476.673,17th & K St NW,19th & E Street NW,Subscriber
1333936,5/30/2017 5:49,5/30/2017 5:58,544.863,Fairfax Dr & Kenmore St,Washington Blvd & Walter Reed Dr ,Subscriber
1536884,6/14/2017 12:21,6/14/2017 12:33,754.198,34th St & Wisconsin Ave NW,C & O Canal & Wisconsin Ave NW,Subscriber
1371834,6/2/2017 6:16,6/2/2017 6:27,643.836,20th & O St NW / Dupont South,7th & T St NW,Subscriber
1646803,6/23/2017 8:26,6/23/2017 8:32,380.524,Harvard St & Adams Mill Rd NW,Adams Mill & Columbia Rd NW,Subscriber
1539389,6/15/2017 4:12,6/15/2017 5:03,3098.406,Lyttonsville Rd & Lyttonsville Pl,Lyttonsville Rd & Lyttonsville Pl,Subscriber
1110792,5/10/2017 4:35,5/10/2017 4:45,635.274,Potomac & Pennsylvania Ave SE,Pennsylvania & Minnesota Ave SE,Customer
458814,3/8/2017 16:51,3/8/2017 17:00,546.709,4th & E St SW,1st & K St SE,Subscriber
1686171,6/26/2017 6:47,6/26/2017 6:59,737.647,10th & Monroe St NE,M St & Delaware Ave NE,Subscriber
399963,2/28/2017 17:22,2/28/2017 17:29,400.696,Washington & Independence Ave SW/HHS,4th & D St NW / Judiciary Square,Subscriber
1239992,5/21/2017 9:18,5/21/2017 9:24,383.406,Maine Ave & 7th St SW,4th & E St SW,Subscriber
1184518,5/17/2017 6:13,5/17/2017 6:21,516.086,8th & H St NW,19th & G St NW,Subscriber
827853,4/15/2017 3:29,4/15/2017 3:44,906.67,4th & East Capitol St NE,Neal St & Trinidad Ave NE,Customer
276346,2/15/2017 12:55,2/15/2017 12:59,238.814,Towers Crescent Dr & Tysons One Pl,Tysons One Pl & Chain Bridge Rd,Subscriber
697686,4/5/2017 5:14,4/5/2017 5:26,671.293,17th & K St NW / Farragut Square,North Capitol St & F St NW,Subscriber
1621339,6/21/2017 8:36,6/21/2017 9:24,2828.269,21st St & Constitution Ave NW,New York Ave & 15th St NW,Customer
1691109,6/26/2017 9:30,6/26/2017 9:42,707.102,M St & Pennsylvania Ave NW,15th & K St NW,Customer
238432,2/9/2017 10:53,2/9/2017 11:04,652.06,Mount Vernon Ave & E Nelson Ave,King St Metro South,Subscriber
